ensemble,model,member,grid,ssp,method
NEX-GDDP,GFDL-ESM4,r1i1p1f1,gr1,historical,NEX-GDDP
NEX-GDDP,GFDL-ESM4,r1i1p1f1,gr1,ssp585,NEX-GDDP
NEX-GDDP,GFDL-ESM4,r1i1p1f1,gr1,ssp370,NEX-GDDP
NEX-GDDP,GFDL-ESM4,r1i1p1f1,gr1,ssp126,NEX-GDDP
NEX-GDDP,ACCESS-ESM1-5,r1i1p1f1,gn,ssp245,NEX-GDDP
NEX-GDDP,ACCESS-ESM1-5,r1i1p1f1,gn,historical,NEX-GDDP
NEX-GDDP,ACCESS-ESM1-5,r1i1p1f1,gn,ssp585,NEX-GDDP
NEX-GDDP,ACCESS-ESM1-5,r1i1p1f1,gn,ssp370,NEX-GDDP
NEX-GDDP,ACCESS-ESM1-5,r1i1p1f1,gn,ssp126,NEX-GDDP
NEX-GDDP,GFDL-CM4,r1i1p1f1,gr1,ssp245,NEX-GDDP
NEX-GDDP,GFDL-CM4,r1i1p1f1,gr1,historical,NEX-GDDP
NEX-GDDP,GFDL-CM4,r1i1p1f1,gr1,ssp585,NEX-GDDP
NEX-GDDP,MIROC-ES2L,r1i1p1f2,gn,ssp245,NEX-GDDP
NEX-GDDP,MIROC-ES2L,r1i1p1f2,gn,historical,NEX-GDDP
NEX-GDDP,MIROC-ES2L,r1i1p1f2,gn,ssp585,NEX-GDDP
NEX-GDDP,MIROC-ES2L,r1i1p1f2,gn,ssp370,NEX-GDDP
NEX-GDDP,MIROC-ES2L,r1i1p1f2,gn,ssp126,NEX-GDDP
NEX-GDDP,GISS-E2-1-G,r1i1p1f2,gn,ssp245,NEX-GDDP
NEX-GDDP,GISS-E2-1-G,r1i1p1f2,gn,historical,NEX-GDDP
NEX-GDDP,GISS-E2-1-G,r1i1p1f2,gn,ssp585,NEX-GDDP
NEX-GDDP,GISS-E2-1-G,r1i1p1f2,gn,ssp370,NEX-GDDP
NEX-GDDP,GISS-E2-1-G,r1i1p1f2,gn,ssp126,NEX-GDDP
NEX-GDDP,CMCC-ESM2,r1i1p1f1,gn,ssp245,NEX-GDDP
NEX-GDDP,CMCC-ESM2,r1i1p1f1,gn,historical,NEX-GDDP
NEX-GDDP,CMCC-ESM2,r1i1p1f1,gn,ssp585,NEX-GDDP
NEX-GDDP,CMCC-ESM2,r1i1p1f1,gn,ssp370,NEX-GDDP
NEX-GDDP,CMCC-ESM2,r1i1p1f1,gn,ssp126,NEX-GDDP
NEX-GDDP,EC-Earth3-Veg-LR,r1i1p1f1,gr,ssp245,NEX-GDDP
NEX-GDDP,EC-Earth3-Veg-LR,r1i1p1f1,gr,historical,NEX-GDDP
NEX-GDDP,EC-Earth3-Veg-LR,r1i1p1f1,gr,ssp585,NEX-GDDP
NEX-GDDP,EC-Earth3-Veg-LR,r1i1p1f1,gr,ssp370,NEX-GDDP
NEX-GDDP,EC-Earth3-Veg-LR,r1i1p1f1,gr,ssp126,NEX-GDDP
NEX-GDDP,INM-CM4-8,r1i1p1f1,gr1,ssp245,NEX-GDDP
NEX-GDDP,INM-CM4-8,r1i1p1f1,gr1,historical,NEX-GDDP
NEX-GDDP,INM-CM4-8,r1i1p1f1,gr1,ssp585,NEX-GDDP
NEX-GDDP,INM-CM4-8,r1i1p1f1,gr1,ssp370,NEX-GDDP
NEX-GDDP,INM-CM4-8,r1i1p1f1,gr1,ssp126,NEX-GDDP
NEX-GDDP,KIOST-ESM,r1i1p1f1,gr1,ssp245,NEX-GDDP
NEX-GDDP,KIOST-ESM,r1i1p1f1,gr1,historical,NEX-GDDP
NEX-GDDP,KIOST-ESM,r1i1p1f1,gr1,ssp585,NEX-GDDP
NEX-GDDP,KIOST-ESM,r1i1p1f1,gr1,ssp126,NEX-GDDP
NEX-GDDP,EC-Earth3,r1i1p1f1,gr,ssp245,NEX-GDDP
NEX-GDDP,EC-Earth3,r1i1p1f1,gr,historical,NEX-GDDP
