ensemble,model,member,grid,ssp,method
LOCA2,GFDL-CM4,r1i1p1f1,0,ssp245,LOCA2
LOCA2,GFDL-CM4,r1i1p1f1,0,historical,LOCA2
LOCA2,GFDL-CM4,r1i1p1f1,0,ssp585,LOCA2
LOCA2,INM-CM4-8,r1i1p1f1,0,ssp245,LOCA2
LOCA2,INM-CM4-8,r1i1p1f1,0,historical,LOCA2
LOCA2,INM-CM4-8,r1i1p1f1,0,ssp585,LOCA2
LOCA2,INM-CM4-8,r1i1p1f1,0,ssp370,LOCA2
LOCA2,EC-Earth3,r2i1p1f1,0,ssp245,LOCA2
LOCA2,EC-Earth3,r2i1p1f1,0,historical,LOCA2
LOCA2,EC-Earth3,r1i1p1f1,0,ssp245,LOCA2
LOCA2,EC-Earth3,r1i1p1f1,0,historical,LOCA2
LOCA2,EC-Earth3,r1i1p1f1,0,ssp585,LOCA2
LOCA2,EC-Earth3,r1i1p1f1,0,ssp370,LOCA2
LOCA2,EC-Earth3,r4i1p1f1,0,ssp245,LOCA2
LOCA2,EC-Earth3,r4i1p1f1,0,historical,LOCA2
LOCA2,EC-Earth3,r4i1p1f1,0,ssp585,LOCA2
LOCA2,EC-Earth3,r4i1p1f1,0,ssp370,LOCA2
LOCA2,EC-Earth3,r3i1p1f1,0,historical,LOCA2
LOCA2,EC-Earth3,r3i1p1f1,0,ssp585,LOCA2
LOCA2,BCC-CSM2-MR,r1i1p1f1,0,ssp245,LOCA2
LOCA2,BCC-CSM2-MR,r1i1p1f1,0,historical,LOCA2
LOCA2,BCC-CSM2-MR,r1i1p1f1,0,ssp585,LOCA2
LOCA2,BCC-CSM2-MR,r1i1p1f1,0,ssp370,LOCA2
LOCA2,MPI-ESM1-2-HR,r2i1p1f1,0,ssp245,LOCA2
LOCA2,MPI-ESM1-2-HR,r2i1p1f1,0,historical,LOCA2
LOCA2,MPI-ESM1-2-HR,r2i1p1f1,0,ssp585,LOCA2
LOCA2,MPI-ESM1-2-HR,r2i1p1f1,0,ssp370,LOCA2
LOCA2,MPI-ESM1-2-HR,r5i1p1f1,0,historical,LOCA2
LOCA2,MPI-ESM1-2-HR,r5i1p1f1,0,ssp370,LOCA2
LOCA2,MPI-ESM1-2-HR,r1i1p1f1,0,ssp245,LOCA2
LOCA2,MPI-ESM1-2-HR,r1i1p1f1,0,historical,LOCA2
LOCA2,MPI-ESM1-2-HR,r1i1p1f1,0,ssp585,LOCA2
LOCA2,MPI-ESM1-2-HR,r1i1p1f1,0,ssp370,LOCA2
LOCA2,MPI-ESM1-2-HR,r4i1p1f1,0,historical,LOCA2
LOCA2,MPI-ESM1-2-HR,r4i1p1f1,0,ssp370,LOCA2
LOCA2,MPI-ESM1-2-HR,r3i1p1f1,0,historical,LOCA2
LOCA2,MPI-ESM1-2-HR,r3i1p1f1,0,ssp370,LOCA2
LOCA2,MPI-ESM1-2-HR,r9i1p1f1,0,historical,LOCA2
LOCA2,MPI-ESM1-2-HR,r9i1p1f1,0,ssp370,LOCA2
LOCA2,MPI-ESM1-2-HR,r8i1p1f1,0,historical,LOCA2
LOCA2,MPI-ESM1-2-HR,r8i1p1f1,0,ssp370,LOCA2
LOCA2,MPI-ESM1-2-HR,r10i1p1f1,0,historical,LOCA2
LOCA2,MPI-ESM1-2-HR,r10i1p1f1,0,ssp370,LOCA2
LOCA2,MPI-ESM1-2-HR,r7i1p1f1,0,historical,LOCA2
LOCA2,MPI-ESM1-2-HR,r7i1p1f1,0,ssp370,LOCA2
LOCA2,MPI-ESM1-2-HR,r6i1p1f1,0,historical,LOCA2
LOCA2,MPI-ESM1-2-HR,r6i1p1f1,0,ssp370,LOCA2
LOCA2,TaiESM1,r1i1p1f1,0,ssp245,LOCA2
LOCA2,TaiESM1,r1i1p1f1,0,historical,LOCA2
LOCA2,TaiESM1,r1i1p1f1,0,ssp370,LOCA2
LOCA2,HadGEM3-GC31-LL,r2i1p1f3,0,historical,LOCA2
LOCA2,HadGEM3-GC31-LL,r2i1p1f3,0,ssp585,LOCA2
LOCA2,HadGEM3-GC31-LL,r1i1p1f3,0,ssp245,LOCA2
LOCA2,HadGEM3-GC31-LL,r1i1p1f3,0,historical,LOCA2
LOCA2,HadGEM3-GC31-LL,r1i1p1f3,0,ssp585,LOCA2
LOCA2,HadGEM3-GC31-LL,r3i1p1f3,0,historical,LOCA2
LOCA2,HadGEM3-GC31-LL,r3i1p1f3,0,ssp585,LOCA2
LOCA2,EC-Earth3-Veg,r2i1p1f1,0,ssp245,LOCA2
LOCA2,EC-Earth3-Veg,r2i1p1f1,0,historical,LOCA2
LOCA2,EC-Earth3-Veg,r2i1p1f1,0,ssp585,LOCA2
LOCA2,EC-Earth3-Veg,r2i1p1f1,0,ssp370,LOCA2
LOCA2,EC-Earth3-Veg,r5i1p1f1,0,ssp245,LOCA2
LOCA2,EC-Earth3-Veg,r5i1p1f1,0,historical,LOCA2
LOCA2,EC-Earth3-Veg,r1i1p1f1,0,ssp245,LOCA2
LOCA2,EC-Earth3-Veg,r1i1p1f1,0,historical,LOCA2
LOCA2,EC-Earth3-Veg,r1i1p1f1,0,ssp585,LOCA2
LOCA2,EC-Earth3-Veg,r1i1p1f1,0,ssp370,LOCA2
LOCA2,EC-Earth3-Veg,r4i1p1f1,0,ssp245,LOCA2
LOCA2,EC-Earth3-Veg,r4i1p1f1,0,historical,LOCA2
LOCA2,EC-Earth3-Veg,r4i1p1f1,0,ssp585,LOCA2
LOCA2,EC-Earth3-Veg,r4i1p1f1,0,ssp370,LOCA2
LOCA2,EC-Earth3-Veg,r3i1p1f1,0,ssp245,LOCA2
LOCA2,EC-Earth3-Veg,r3i1p1f1,0,historical,LOCA2
LOCA2,EC-Earth3-Veg,r3i1p1f1,0,ssp585,LOCA2
LOCA2,EC-Earth3-Veg,r3i1p1f1,0,ssp370,LOCA2
LOCA2,CNRM-CM6-1,r1i1p1f2,0,ssp245,LOCA2
LOCA2,CNRM-CM6-1,r1i1p1f2,0,historical,LOCA2
LOCA2,CNRM-CM6-1,r1i1p1f2,0,ssp585,LOCA2
LOCA2,CNRM-CM6-1,r1i1p1f2,0,ssp370,LOCA2
LOCA2,FGOALS-g3,r5i1p1f1,0,historical,LOCA2
LOCA2,FGOALS-g3,r5i1p1f1,0,ssp370,LOCA2
LOCA2,FGOALS-g3,r1i1p1f1,0,ssp245,LOCA2
LOCA2,FGOALS-g3,r1i1p1f1,0,historical,LOCA2
LOCA2,FGOALS-g3,r1i1p1f1,0,ssp585,LOCA2
LOCA2,FGOALS-g3,r1i1p1f1,0,ssp370,LOCA2
LOCA2,FGOALS-g3,r4i1p1f1,0,ssp245,LOCA2
LOCA2,FGOALS-g3,r4i1p1f1,0,historical,LOCA2
LOCA2,FGOALS-g3,r4i1p1f1,0,ssp585,LOCA2
LOCA2,FGOALS-g3,r4i1p1f1,0,ssp370,LOCA2
LOCA2,FGOALS-g3,r3i1p1f1,0,ssp245,LOCA2
LOCA2,FGOALS-g3,r3i1p1f1,0,historical,LOCA2
LOCA2,FGOALS-g3,r3i1p1f1,0,ssp585,LOCA2
LOCA2,FGOALS-g3,r3i1p1f1,0,ssp370,LOCA2
LOCA2,HadGEM3-GC31-MM,r2i1p1f3,0,historical,LOCA2
LOCA2,HadGEM3-GC31-MM,r2i1p1f3,0,ssp585,LOCA2
LOCA2,HadGEM3-GC31-MM,r1i1p1f3,0,historical,LOCA2
LOCA2,HadGEM3-GC31-MM,r1i1p1f3,0,ssp585,LOCA2
LOCA2,MIROC6,r2i1p1f1,0,ssp245,LOCA2
LOCA2,MIROC6,r2i1p1f1,0,historical,LOCA2
LOCA2,MIROC6,r2i1p1f1,0,ssp585,LOCA2
LOCA2,MIROC6,r2i1p1f1,0,ssp370,LOCA2
LOCA2,MIROC6,r5i1p1f1,0,historical,LOCA2
LOCA2,MIROC6,r5i1p1f1,0,ssp585,LOCA2
LOCA2,MIROC6,r1i1p1f1,0,ssp245,LOCA2
LOCA2,MIROC6,r1i1p1f1,0,historical,LOCA2
LOCA2,MIROC6,r1i1p1f1,0,ssp585,LOCA2
LOCA2,MIROC6,r1i1p1f1,0,ssp370,LOCA2
LOCA2,MIROC6,r4i1p1f1,0,historical,LOCA2
LOCA2,MIROC6,r4i1p1f1,0,ssp585,LOCA2
LOCA2,MIROC6,r3i1p1f1,0,ssp245,LOCA2
LOCA2,MIROC6,r3i1p1f1,0,historical,LOCA2
LOCA2,MIROC6,r3i1p1f1,0,ssp585,LOCA2
LOCA2,MIROC6,r3i1p1f1,0,ssp370,LOCA2
LOCA2,CNRM-ESM2-1,r1i1p1f2,0,ssp245,LOCA2
LOCA2,CNRM-ESM2-1,r1i1p1f2,0,historical,LOCA2
LOCA2,CNRM-ESM2-1,r1i1p1f2,0,ssp585,LOCA2
LOCA2,CNRM-ESM2-1,r1i1p1f2,0,ssp370,LOCA2
LOCA2,NorESM2-MM,r2i1p1f1,0,ssp245,LOCA2
LOCA2,NorESM2-MM,r2i1p1f1,0,historical,LOCA2
LOCA2,NorESM2-MM,r1i1p1f1,0,ssp245,LOCA2
LOCA2,NorESM2-MM,r1i1p1f1,0,historical,LOCA2
LOCA2,NorESM2-MM,r1i1p1f1,0,ssp585,LOCA2
LOCA2,NorESM2-MM,r1i1p1f1,0,ssp370,LOCA2
LOCA2,MRI-ESM2-0,r2i1p1f1,0,historical,LOCA2
LOCA2,MRI-ESM2-0,r2i1p1f1,0,ssp370,LOCA2
LOCA2,MRI-ESM2-0,r5i1p1f1,0,historical,LOCA2
LOCA2,MRI-ESM2-0,r5i1p1f1,0,ssp370,LOCA2
LOCA2,MRI-ESM2-0,r1i1p1f1,0,ssp245,LOCA2
LOCA2,MRI-ESM2-0,r1i1p1f1,0,historical,LOCA2
LOCA2,MRI-ESM2-0,r1i1p1f1,0,ssp585,LOCA2
LOCA2,MRI-ESM2-0,r1i1p1f1,0,ssp370,LOCA2
LOCA2,MRI-ESM2-0,r4i1p1f1,0,historical,LOCA2
LOCA2,MRI-ESM2-0,r4i1p1f1,0,ssp370,LOCA2
LOCA2,MRI-ESM2-0,r3i1p1f1,0,historical,LOCA2
LOCA2,MRI-ESM2-0,r3i1p1f1,0,ssp370,LOCA2
OakRidge,ACCESS-CM2,r1i1p1f1,0,ssp585,DBCCA_Daymet
OakRidge,BCC-CSM2-MR,r1i1p1f1,0,ssp585,DBCCA_Daymet
OakRidge,CNRM-ESM2-1,r1i1p1f2,0,ssp585,DBCCA_Daymet
OakRidge,MPI-ESM1-2-HR,r1i1p1f1,0,ssp585,DBCCA_Daymet
OakRidge,MRI-ESM2-0,r1i1p1f1,0,ssp585,DBCCA_Daymet
OakRidge,NorESM2-MM,r1i1p1f1,0,ssp585,DBCCA_Daymet
OakRidge,ACCESS-CM2,r1i1p1f1,0,historical,DBCCA_Daymet
OakRidge,BCC-CSM2-MR,r1i1p1f1,0,historical,DBCCA_Daymet
OakRidge,CNRM-ESM2-1,r1i1p1f2,0,historical,DBCCA_Daymet
OakRidge,MPI-ESM1-2-HR,r1i1p1f1,0,historical,DBCCA_Daymet
OakRidge,MRI-ESM2-0,r1i1p1f1,0,historical,DBCCA_Daymet
OakRidge,NorESM2-MM,r1i1p1f1,0,historical,DBCCA_Daymet
OakRidge,ACCESS-CM2,r1i1p1f1,0,ssp585,RegCM_Daymet
OakRidge,BCC-CSM2-MR,r1i1p1f1,0,ssp585,RegCM_Daymet
OakRidge,CNRM-ESM2-1,r1i1p1f2,0,ssp585,RegCM_Daymet
OakRidge,MPI-ESM1-2-HR,r1i1p1f1,0,ssp585,RegCM_Daymet
OakRidge,MRI-ESM2-0,r1i1p1f1,0,ssp585,RegCM_Daymet
OakRidge,NorESM2-MM,r1i1p1f1,0,ssp585,RegCM_Daymet
OakRidge,ACCESS-CM2,r1i1p1f1,0,historical,RegCM_Daymet
OakRidge,BCC-CSM2-MR,r1i1p1f1,0,historical,RegCM_Daymet
OakRidge,CNRM-ESM2-1,r1i1p1f2,0,historical,RegCM_Daymet
OakRidge,MPI-ESM1-2-HR,r1i1p1f1,0,historical,RegCM_Daymet
OakRidge,MRI-ESM2-0,r1i1p1f1,0,historical,RegCM_Daymet
OakRidge,NorESM2-MM,r1i1p1f1,0,historical,RegCM_Daymet
OakRidge,ACCESS-CM2,r1i1p1f1,0,ssp585,DBCCA_Livneh
OakRidge,BCC-CSM2-MR,r1i1p1f1,0,ssp585,DBCCA_Livneh
OakRidge,CNRM-ESM2-1,r1i1p1f2,0,ssp585,DBCCA_Livneh
OakRidge,MPI-ESM1-2-HR,r1i1p1f1,0,ssp585,DBCCA_Livneh
OakRidge,MRI-ESM2-0,r1i1p1f1,0,ssp585,DBCCA_Livneh
OakRidge,NorESM2-MM,r1i1p1f1,0,ssp585,DBCCA_Livneh
OakRidge,ACCESS-CM2,r1i1p1f1,0,historical,DBCCA_Livneh
OakRidge,BCC-CSM2-MR,r1i1p1f1,0,historical,DBCCA_Livneh
OakRidge,CNRM-ESM2-1,r1i1p1f2,0,historical,DBCCA_Livneh
OakRidge,MPI-ESM1-2-HR,r1i1p1f1,0,historical,DBCCA_Livneh
OakRidge,MRI-ESM2-0,r1i1p1f1,0,historical,DBCCA_Livneh
OakRidge,NorESM2-MM,r1i1p1f1,0,historical,DBCCA_Livneh
OakRidge,ACCESS-CM2,r1i1p1f1,0,ssp585,RegCM_Livneh
OakRidge,BCC-CSM2-MR,r1i1p1f1,0,ssp585,RegCM_Livneh
OakRidge,CNRM-ESM2-1,r1i1p1f2,0,ssp585,RegCM_Livneh
OakRidge,MPI-ESM1-2-HR,r1i1p1f1,0,ssp585,RegCM_Livneh
OakRidge,MRI-ESM2-0,r1i1p1f1,0,ssp585,RegCM_Livneh
OakRidge,NorESM2-MM,r1i1p1f1,0,ssp585,RegCM_Livneh
OakRidge,ACCESS-CM2,r1i1p1f1,0,historical,RegCM_Livneh
OakRidge,BCC-CSM2-MR,r1i1p1f1,0,historical,RegCM_Livneh
OakRidge,CNRM-ESM2-1,r1i1p1f2,0,historical,RegCM_Livneh
OakRidge,MPI-ESM1-2-HR,r1i1p1f1,0,historical,RegCM_Livneh
OakRidge,MRI-ESM2-0,r1i1p1f1,0,historical,RegCM_Livneh
OakRidge,NorESM2-MM,r1i1p1f1,0,historical,RegCM_Livneh
