Land_ID,Group,Priority,L_ini,L_dev,L_mid,L_late,Kci,Kcm,Kce,RootDepth,CropDepletionFactor,LandFracTS,LandFracTS_Dom,Kc_TS,AddedWaterTS,CropFracFile,PlantDayFile,SeasonLengthFile
Canola_1,Irrigated,21,0.3,0.25,0.3,0.15,0.35,1.1,0.35,1000,0.6,PATH_HERE/data_init/individual_crop/CDL-US-M_canola_1_irr_fr.init,,PATH_HERE/data_init/individual_crop/CDL-US-M_canola_1_irr_Kc.init,,,,
Groundnuts_1,Irrigated,22,0.22,0.28,0.3,0.2,0.4,1.15,0.6,1000,0.5,PATH_HERE/data_init/individual_crop/CDL-US-M_groundnuts_1_irr_fr.init,,PATH_HERE/data_init/individual_crop/CDL-US-M_groundnuts_1_irr_Kc.init,,,,
Pulses_1,Irrigated,23,0.18,0.27,0.35,0.2,0.45,1.1,0.6,550,0.45,PATH_HERE/data_init/individual_crop/CDL-US-M_pulses_1_irr_fr.init,,PATH_HERE/data_init/individual_crop/CDL-US-M_pulses_1_irr_Kc.init,,,,
Citrus_1,Irrigated,24,0.16,0.25,0.33,0.26,0.8,0.8,0.8,1300,0.5,PATH_HERE/data_init/individual_crop/CDL-US-M_citrus_1_irr_fr.init,,PATH_HERE/data_init/individual_crop/CDL-US-M_citrus_1_irr_Kc.init,,,,
Vine_1,Irrigated,26,0.3,0.14,0.2,0.36,0.3,0.8,0.3,1000,0.4,PATH_HERE/data_init/individual_crop/CDL-US-M_vine_1_irr_fr.init,,PATH_HERE/data_init/individual_crop/CDL-US-M_vine_1_irr_Kc.init,,,,
Cotton_1,Irrigated,27,0.17,0.33,0.25,0.25,0.35,1.18,0.6,1500,0.65,PATH_HERE/data_init/individual_crop/CDL-US-M_cotton_1_irr_fr.init,,PATH_HERE/data_init/individual_crop/CDL-US-M_cotton_1_irr_Kc.init,,,,
Others_perennial_1,Irrigated,30,0,0,1,0,1,1,1,800,0.5,PATH_HERE/data_init/individual_crop/CDL-US-M_othersPerennial_1_irr_fr.init,,PATH_HERE/data_init/individual_crop/CDL-US-M_othersPerennial_1_irr_Kc.init,,,,
Fodder_grasses_1,Irrigated,31,0,0,1,0,1,1,1,1500,0.55,PATH_HERE/data_init/individual_crop/CDL-US-M_fodderGrasses_1_irr_fr.init,,PATH_HERE/data_init/individual_crop/CDL-US-M_fodderGrasses_1_irr_Kc.init,,,,
Others_annual_1,Irrigated,32,0.15,0.25,0.4,0.2,0.4,1.05,0.5,1000,0.55,PATH_HERE/data_init/individual_crop/CDL-US-M_othersAnnual_1_irr_fr.init,,PATH_HERE/data_init/individual_crop/CDL-US-M_othersAnnual_1_irr_Kc.init,,,,
Others_annual_2,Irrigated,33,0.15,0.25,0.4,0.2,0.4,1.05,0.5,1000,0.55,PATH_HERE/data_init/individual_crop/CDL-US-M_othersAnnual_2_irr_fr.init,,PATH_HERE/data_init/individual_crop/CDL-US-M_othersAnnual_2_irr_Kc.init,,,,
Others_annual_3,Irrigated,34,0.15,0.25,0.4,0.2,0.4,1.05,0.5,1000,0.55,PATH_HERE/data_init/individual_crop/CDL-US-M_othersAnnual_3_irr_fr.init,,PATH_HERE/data_init/individual_crop/CDL-US-M_othersAnnual_3_irr_Kc.init,,,,
Others_annual_4,Irrigated,35,0.15,0.25,0.4,0.2,0.4,1.05,0.5,1000,0.55,PATH_HERE/data_init/individual_crop/CDL-US-M_othersAnnual_4_irr_fr.init,,PATH_HERE/data_init/individual_crop/CDL-US-M_othersAnnual_4_irr_Kc.init,,,,
Others_annual_5,Irrigated,36,0.15,0.25,0.4,0.2,0.4,1.05,0.5,1000,0.55,PATH_HERE/data_init/individual_crop/CDL-US-M_othersAnnual_5_irr_fr.init,,PATH_HERE/data_init/individual_crop/CDL-US-M_othersAnnual_5_irr_Kc.init,,,,
,,,,,,,,,,,,,,,,,,
Wheat_1,Rainfed,37,0.15,0.25,0.4,0.2,0.4,1.15,0.3,1600,0,PATH_HERE/data_init/individual_crop/CDL-US-M_wheat_1_rfd_fr.init,,PATH_HERE/data_init/individual_crop/CDL-US-M_wheat_1_rfd_Kc.init,,,,
Wheat_2,Rainfed,38,0.15,0.25,0.4,0.2,0.4,1.15,0.3,1600,0,PATH_HERE/data_init/individual_crop/CDL-US-M_wheat_2_rfd_fr.init,,PATH_HERE/data_init/individual_crop/CDL-US-M_wheat_2_rfd_Kc.init,,,,
Maize_1,Rainfed,39,0.17,0.28,0.33,0.22,0.3,1.2,0.4,1600,0,PATH_HERE/data_init/individual_crop/CDL-US-M_maize_1_rfd_fr.init,,PATH_HERE/data_init/individual_crop/CDL-US-M_maize_1_rfd_Kc.init,,,,
Maize_2,Rainfed,40,0.17,0.28,0.33,0.22,0.3,1.2,0.4,1600,0,PATH_HERE/data_init/individual_crop/CDL-US-M_maize_2_rfd_fr.init,,PATH_HERE/data_init/individual_crop/CDL-US-M_maize_2_rfd_Kc.init,,,,
Rice_1,Rainfed,41,0.17,0.18,0.44,0.21,1.05,1.2,0.75,1000,0,PATH_HERE/data_init/individual_crop/CDL-US-M_rice_1_rfd_fr.init,,PATH_HERE/data_init/individual_crop/CDL-US-M_rice_1_rfd_Kc.init,,,,
Rice_2,Rainfed,42,0.17,0.18,0.44,0.21,1.05,1.2,0.75,1000,0,PATH_HERE/data_init/individual_crop/CDL-US-M_rice_2_rfd_fr.init,,PATH_HERE/data_init/individual_crop/CDL-US-M_rice_2_rfd_Kc.init,,,,
Rice_3,Rainfed,43,0.17,0.18,0.44,0.21,1.05,1.2,0.75,1000,0,PATH_HERE/data_init/individual_crop/CDL-US-M_rice_3_rfd_fr.init,,PATH_HERE/data_init/individual_crop/CDL-US-M_rice_3_rfd_Kc.init,,,,
